seconds,situations,mirrored,probing
12.72,2400000,45,8784754
12.77,2410000,45,8816348
12.82,2420000,45,8906233
12.87,2430000,45,8979908
12.93,2440000,45,9029989
12.97,2450000,45,9101835
13.03,2460000,45,9174586
13.09,2470000,45,9307363
13.14,2480000,45,9395976
13.19,2490000,45,9461836
13.24,2500000,45,9535487
13.29,2510000,45,9588182
13.34,2520000,45,9651081
13.39,2530000,45,9710066
13.44,2540000,45,9759397
13.49,2550000,45,9817594
13.54,2560000,45,9858346
13.59,2570000,45,9893216
13.64,2580000,45,9926160
13.70,2590000,45,10081868
13.75,2600000,45,10143725
13.80,2610000,45,10194590
13.85,2620000,45,10243441
13.90,2630000,45,10289825
13.95,2640000,45,10348311
14.00,2650000,45,10468594
14.06,2660000,45,10577208
14.12,2670000,45,10729135
14.17,2680000,45,10851916
14.23,2690000,45,11001501
14.29,2700000,45,11124427
14.34,2710000,45,11213591
14.39,2720000,45,11303620
14.45,2730000,45,11395749
14.51,2740000,45,11529958
14.57,2750000,45,11720791
14.63,2760000,45,11819495
14.69,2770000,45,11966436
14.75,2780000,45,12171378
14.80,2790000,45,12212164
14.86,2800000,45,12425304
14.92,2810000,45,12565904
14.97,2820000,45,12650275
15.03,2830000,45,12732500
15.08,2840000,45,12826759
15.13,2850000,45,12906760
15.18,2860000,45,12962858
15.23,2870000,45,13066811
15.29,2880000,45,13133158
15.34,2890000,45,13219226
15.39,2900000,45,13305768
15.44,2910000,45,13375035
15.50,2920000,45,13506619
15.55,2930000,45,13608662
15.61,2940000,45,13693683
15.66,2950000,45,13776380
15.72,2960000,45,13953030
15.77,2970000,45,14037654
15.83,2980000,45,14135221
15.89,2990000,45,14235357
15.94,3000000,45,14318385
15.99,3010000,45,14405908
16.05,3020000,45,14503902
16.11,3030000,45,14619247
16.16,3040000,45,14719242
16.23,3050000,45,14908381
16.29,3060000,45,15111285
16.36,3070000,45,15292308
16.42,3080000,45,15440586
16.47,3090000,45,15577819
16.53,3100000,46,15664065
16.58,3110000,46,15769996
16.65,3120000,46,15967929
16.70,3130000,46,16066021
16.77,3140000,46,16280050
16.83,3150000,46,16384214
16.88,3160000,48,16461927
16.93,3170000,57,16561057
16.99,3180000,57,16716852
17.06,3190000,57,16969031
17.12,3200000,57,17119828
17.18,3210000,57,17266799
17.23,3220000,57,17378951
17.29,3230000,57,17520000
17.34,3240000,57,17576893
17.39,3250000,57,17633334
17.45,3260000,57,17715858
17.49,3270000,57,17771843
17.55,3280000,58,17850543
17.60,3290000,59,17923048
17.65,3300000,59,18013587
17.72,3310000,60,18214070
17.77,3320000,60,18359798
17.83,3330000,60,18516428
17.89,3340000,60,18650797
17.95,3350000,60,18825036
18.02,3360000,60,18990167
18.07,3370000,60,19138997
18.13,3380000,60,19194114
18.19,3390000,60,19349888
18.24,3400000,60,19411264
18.29,3410000,60,19460250
18.34,3420000,60,19573668
18.41,3430000,60,19789060
18.47,3440000,61,19962533
18.53,3450000,61,20200689
18.60,3460000,61,20440215
18.66,3470000,61,20596605
18.72,3480000,61,20761944
18.79,3490000,61,20987974
18.87,3500000,61,21328926
18.93,3510000,61,21460998
18.97,3520000,61,21512946
19.04,3530000,61,21666138
19.10,3540000,61,21831303
19.16,3550000,61,22003111
19.22,3560000,63,22178436
19.28,3570000,64,22311223
19.34,3580000,70,22459377
19.40,3590000,70,22576311
19.47,3600000,70,22769057
19.54,3610000,71,23017238
19.61,3620000,73,23241506
19.68,3630000,73,23526872
19.75,3640000,73,23724552
19.81,3650000,73,23921729
19.87,3660000,73,24021743
19.93,3670000,73,24181028
19.99,3680000,73,24293151
20.04,3690000,73,24389942
20.10,3700000,73,24482437
20.15,3710000,73,24590631
20.21,3720000,73,24721163
20.26,3730000,73,24786122
20.31,3740000,73,24860859
20.36,3750000,73,24921486
20.42,3760000,73,25016273
20.47,3770000,73,25143910
20.53,3780000,73,25287276
20.59,3790000,73,25373952
20.64,3800000,73,25467617
20.70,3810000,73,25562976
20.75,3820000,73,25633332
20.81,3830000,73,25747611
20.86,3840000,73,25859368
20.91,3850000,73,25939350
20.97,3860000,73,26026757
21.03,3870000,73,26151664
21.09,3880000,73,26345691
21.15,3890000,73,26484555
21.21,3900000,73,26653786
21.27,3910000,73,26777837
21.32,3920000,73,26875454
21.38,3930000,73,26981329
21.44,3940000,73,27113598
21.49,3950000,73,27204575
21.55,3960000,73,27288407
21.60,3970000,73,27361109
21.66,3980000,73,27482100
21.71,3990000,73,27561651
21.76,4000000,73,27629604
21.81,4010000,73,27716366
21.86,4020000,73,27785861
21.92,4030000,73,27893145
21.97,4040000,73,27997684
22.03,4050000,73,28127391
22.09,4060000,73,28228292
22.14,4070000,73,28322303
22.20,4080000,73,28478930
22.26,4090000,73,28588233
22.31,4100000,73,28654763
22.36,4110000,73,28751165
22.41,4120000,73,28824820
22.47,4130000,73,28908112
22.52,4140000,73,29007104
22.57,4150000,73,29091527
22.63,4160000,73,29207647
22.69,4170000,73,29337907
22.74,4180000,73,29429059
22.79,4190000,73,29533374
22.85,4200000,73,29650846
22.90,4210000,73,29768274
22.96,4220000,73,29872830
23.01,4230000,73,29947439
23.07,4240000,73,30088558
23.12,4250000,73,30167968
23.18,4260000,73,30275793
23.23,4270000,73,30406504
23.29,4280000,73,30532132
23.35,4290000,73,30650595
23.41,4300000,73,30794758
23.47,4310000,73,30918016
23.52,4320000,73,31044850
23.59,4330000,73,31216816
23.65,4340000,73,31361314
23.71,4350000,73,31508105
23.77,4360000,73,31655379
23.83,4370000,73,31790017
23.89,4380000,73,31933458
23.95,4390000,73,32162874
24.01,4400000,73,32305517
24.07,4410000,73,32459477
24.15,4420000,73,32681562
24.20,4430000,73,32804305
24.27,4440000,73,32988695
24.32,4450000,73,33082304
24.38,4460000,73,33196332
24.43,4470000,73,33303016
24.49,4480000,73,33440365
24.55,4490000,73,33563772
24.60,4500000,73,33670563
24.65,4510000,73,33761751
24.71,4520000,73,33880092
24.78,4530000,73,34119959
24.85,4540000,73,34309949
24.91,4550000,73,34468133
24.98,4560000,73,34706291
25.04,4570000,73,34885134
25.11,4580000,73,35085043
25.17,4590000,73,35288055
25.24,4600000,73,35507398
25.32,4610000,73,35801532
25.39,4620000,73,36032071
25.45,4630000,73,36195484
25.51,4640000,73,36391744
25.59,4650000,73,36671982
25.65,4660000,73,36833238
25.72,4670000,75,36972004
25.77,4680000,75,37033841
25.82,4690000,75,37108235
25.89,4700000,75,37275147
25.97,4710000,75,37661429
26.04,4720000,75,37901641
26.12,4730000,75,38154154
26.20,4740000,75,38456484
26.27,4750000,76,38720412
26.34,4760000,76,38950488
26.42,4770000,76,39255512
26.50,4780000,76,39583806
26.59,4790000,76,39897692
26.67,4800000,76,40198839
26.75,4810000,76,40532777
26.81,4820000,76,40741554
26.87,4830000,76,40887901
26.94,4840000,76,41058119
27.01,4850000,76,41290640
27.08,4860000,76,41506281
27.14,4870000,77,41704088
27.23,4880000,77,42014005
27.31,4890000,79,42342306
27.40,4900000,79,42723373
27.47,4910000,79,42946102
27.57,4920000,79,43421708
27.66,4930000,79,43812696
27.75,4940000,79,44204683
27.84,4950000,79,44541404
27.90,4960000,79,44704767
27.97,4970000,79,44956842
28.07,4980000,79,45373744
28.13,4990000,79,45504658
28.20,5000000,80,45786660
28.29,5010000,80,46209245
28.37,5020000,80,46454486
28.45,5030000,80,46861722
28.56,5040000,80,47384018
28.64,5050000,80,47686950
28.70,5060000,80,47854685
28.77,5070000,80,48059115
28.84,5080000,80,48306963
28.92,5090000,80,48620445
28.98,5100000,80,48748529
29.04,5110000,80,48908405
29.13,5120000,80,49328230
29.23,5130000,80,49779368
29.31,5140000,80,50071393
29.41,5150000,83,50521142
29.50,5160000,83,50904938
29.58,5170000,83,51281309
29.66,5180000,83,51548103
29.73,5190000,83,51763508
29.80,5200000,83,52026666
29.89,5210000,83,52380236
29.97,5220000,83,52736208
30.06,5230000,85,53114724
30.14,5240000,86,53427767
30.24,5250000,86,53846027
30.31,5260000,86,54094441
30.41,5270000,86,54523172
30.49,5280000,86,54786313
30.59,5290000,86,55284091
30.67,5300000,86,55652795
30.78,5310000,86,56147924
30.88,5320000,86,56616829
30.98,5330000,86,57020705
31.07,5340000,87,57448331
31.16,5350000,87,57795241
