seconds,situations,mirrored,probing
11.51,2120000,44,7245097
11.56,2130000,44,7271194
11.61,2140000,45,7393471
11.67,2150000,45,7449842
11.71,2160000,45,7502182
11.76,2170000,45,7552346
11.81,2180000,45,7579028
11.86,2190000,45,7604884
11.91,2200000,45,7670252
11.97,2210000,45,7801514
12.01,2220000,45,7828113
12.06,2230000,45,7877719
12.11,2240000,45,7898803
12.15,2250000,45,7937461
12.20,2260000,45,7961878
12.25,2270000,45,8005885
12.30,2280000,45,8080079
12.36,2290000,45,8117429
12.40,2300000,45,8139133
12.45,2310000,45,8177406
12.50,2320000,45,8273234
12.55,2330000,45,8327187
12.60,2340000,45,8410905
12.66,2350000,45,8490215
12.70,2360000,45,8555336
12.76,2370000,45,8617932
12.80,2380000,45,8661981
12.86,2390000,45,8724961
12.90,2400000,45,8784754
12.95,2410000,45,8816348
13.00,2420000,45,8906233
13.06,2430000,45,8979908
13.10,2440000,45,9029989
13.16,2450000,45,9101835
13.21,2460000,45,9174586
13.26,2470000,45,9307363
13.32,2480000,45,9395976
13.37,2490000,45,9461836
13.42,2500000,45,9535487
13.47,2510000,45,9588182
13.52,2520000,45,9651081
13.58,2530000,45,9710066
13.62,2540000,45,9759397
13.68,2550000,45,9817594
13.72,2560000,45,9858346
13.77,2570000,45,9893216
13.82,2580000,45,9926160
13.88,2590000,45,10081868
13.93,2600000,45,10143725
13.98,2610000,45,10194590
14.03,2620000,45,10243441
14.08,2630000,45,10289825
14.13,2640000,45,10348311
14.18,2650000,45,10468594
14.24,2660000,45,10577208
14.30,2670000,45,10729135
14.36,2680000,45,10851916
14.42,2690000,45,11001501
14.47,2700000,45,11124427
14.52,2710000,45,11213591
14.58,2720000,45,11303620
14.63,2730000,45,11395749
14.69,2740000,45,11529958
14.76,2750000,45,11720791
14.81,2760000,45,11819495
14.87,2770000,45,11966436
14.93,2780000,45,12171378
14.98,2790000,45,12212164
15.04,2800000,45,12425304
15.10,2810000,45,12565904
15.16,2820000,45,12650275
15.21,2830000,45,12732500
15.26,2840000,45,12826759
15.31,2850000,45,12906760
15.36,2860000,45,12962858
15.42,2870000,45,13066811
15.46,2880000,45,13133158
15.52,2890000,45,13219226
15.57,2900000,45,13305768
15.62,2910000,45,13375035
15.68,2920000,45,13506619
15.74,2930000,45,13608662
15.79,2940000,45,13693683
15.84,2950000,45,13776380
15.90,2960000,45,13953030
15.96,2970000,45,14037654
16.01,2980000,45,14135221
16.07,2990000,45,14235357
16.12,3000000,45,14318385
16.17,3010000,45,14405908
16.23,3020000,45,14503902
16.28,3030000,45,14619247
16.34,3040000,45,14719242
16.40,3050000,45,14908381
16.46,3060000,45,15111285
16.53,3070000,45,15292308
16.59,3080000,45,15440586
16.64,3090000,45,15577819
16.70,3100000,46,15664065
16.75,3110000,46,15769996
16.82,3120000,46,15967929
16.87,3130000,46,16066021
16.94,3140000,46,16280050
16.99,3150000,46,16384214
17.04,3160000,48,16461927
17.10,3170000,57,16561057
17.16,3180000,57,16716852
17.23,3190000,57,16969031
17.29,3200000,57,17119828
17.35,3210000,57,17266799
17.41,3220000,57,17378951
17.46,3230000,57,17520000
17.52,3240000,57,17576893
17.56,3250000,57,17633334
17.62,3260000,57,17715858
17.67,3270000,57,17771843
17.72,3280000,58,17850543
17.77,3290000,59,17923048
17.82,3300000,59,18013587
17.89,3310000,60,18214070
17.95,3320000,60,18359798
18.01,3330000,60,18516428
18.07,3340000,60,18650797
18.13,3350000,60,18825036
18.20,3360000,60,18990167
18.26,3370000,60,19138997
18.30,3380000,60,19194114
18.37,3390000,60,19349888
18.42,3400000,60,19411264
18.47,3410000,60,19460250
18.53,3420000,60,19573668
18.59,3430000,60,19789060
18.66,3440000,61,19962533
18.73,3450000,61,20200689
18.79,3460000,61,20440215
18.85,3470000,61,20596605
18.91,3480000,61,20761944
18.98,3490000,61,20987974
19.06,3500000,61,21328926
19.12,3510000,61,21460998
19.17,3520000,61,21512946
19.23,3530000,61,21666138
19.29,3540000,61,21831303
19.35,3550000,61,22003111
19.41,3560000,63,22178436
19.47,3570000,64,22311223
19.54,3580000,70,22459377
19.59,3590000,70,22576311
19.66,3600000,70,22769057
19.73,3610000,71,23017238
19.81,3620000,73,23241506
19.88,3630000,73,23526872
19.95,3640000,73,23724552
20.01,3650000,73,23921729
20.07,3660000,73,24021743
20.13,3670000,73,24181028
20.19,3680000,73,24293151
20.24,3690000,73,24389942
20.29,3700000,73,24482437
20.36,3710000,73,24590631
20.41,3720000,73,24721163
20.46,3730000,73,24786122
20.51,3740000,73,24860859
20.56,3750000,73,24921486
20.62,3760000,73,25016273
20.68,3770000,73,25143910
20.74,3780000,73,25287276
20.79,3790000,73,25373952
20.84,3800000,73,25467617
20.90,3810000,73,25562976
20.95,3820000,73,25633332
21.01,3830000,73,25747611
21.07,3840000,73,25859368
21.12,3850000,73,25939350
21.17,3860000,73,26026757
21.23,3870000,73,26151664
21.30,3880000,73,26345691
21.36,3890000,73,26484555
21.42,3900000,73,26653786
21.48,3910000,73,26777837
21.53,3920000,73,26875454
21.59,3930000,73,26981329
21.65,3940000,73,27113598
21.70,3950000,73,27204575
21.75,3960000,73,27288407
21.81,3970000,73,27361109
21.86,3980000,73,27482100
21.92,3990000,73,27561651
21.97,4000000,73,27629604
22.02,4010000,73,27716366
22.07,4020000,73,27785861
22.13,4030000,73,27893145
22.18,4040000,73,27997684
22.24,4050000,73,28127391
22.29,4060000,73,28228292
22.35,4070000,73,28322303
22.41,4080000,73,28478930
22.47,4090000,73,28588233
22.52,4100000,73,28654763
22.57,4110000,73,28751165
22.62,4120000,73,28824820
22.68,4130000,73,28908112
22.73,4140000,73,29007104
22.78,4150000,73,29091527
22.84,4160000,73,29207647
22.90,4170000,73,29337907
22.95,4180000,73,29429059
23.01,4190000,73,29533374
23.06,4200000,73,29650846
23.12,4210000,73,29768274
23.17,4220000,73,29872830
23.22,4230000,73,29947439
23.28,4240000,73,30088558
23.34,4250000,73,30167968
23.40,4260000,73,30275793
23.46,4270000,73,30406504
23.51,4280000,73,30532132
23.57,4290000,73,30650595
23.63,4300000,73,30794758
23.69,4310000,73,30918016
23.75,4320000,73,31044850
23.81,4330000,73,31216816
23.87,4340000,73,31361314
23.93,4350000,73,31508105
23.99,4360000,73,31655379
24.05,4370000,73,31790017
24.11,4380000,73,31933458
24.18,4390000,73,32162874
24.24,4400000,73,32305517
24.30,4410000,73,32459477
24.37,4420000,73,32681562
24.43,4430000,73,32804305
24.49,4440000,73,32988695
24.55,4450000,73,33082304
24.60,4460000,73,33196332
24.66,4470000,73,33303016
24.72,4480000,73,33440365
24.77,4490000,73,33563772
24.83,4500000,73,33670563
24.88,4510000,73,33761751
24.94,4520000,73,33880092
25.01,4530000,73,34119959
25.08,4540000,73,34309949
25.14,4550000,73,34468133
25.21,4560000,73,34706291
25.27,4570000,73,34885134
25.33,4580000,73,35085043
25.40,4590000,73,35288055
25.47,4600000,73,35507398
25.55,4610000,73,35801532
25.62,4620000,73,36032071
25.68,4630000,73,36195484
25.75,4640000,73,36391744
25.83,4650000,73,36671982
25.89,4660000,73,36833238
25.95,4670000,75,36972004
26.00,4680000,75,37033841
26.06,4690000,75,37108235
26.12,4700000,75,37275147
26.21,4710000,75,37661429
26.29,4720000,75,37901641
26.36,4730000,75,38154154
26.44,4740000,75,38456484
26.51,4750000,76,38720412
26.59,4760000,76,38950488
26.67,4770000,76,39255512
26.75,4780000,76,39583806
26.83,4790000,76,39897692
26.91,4800000,76,40198839
26.99,4810000,76,40532777
27.06,4820000,76,40741554
27.12,4830000,76,40887901
27.18,4840000,76,41058119
27.25,4850000,76,41290640
27.32,4860000,76,41506281
27.39,4870000,77,41704088
27.47,4880000,77,42014005
27.55,4890000,79,42342306
27.65,4900000,79,42723373
27.72,4910000,79,42946102
27.82,4920000,79,43421708
27.91,4930000,79,43812696
28.00,4940000,79,44204683
28.09,4950000,79,44541404
28.15,4960000,79,44704767
28.22,4970000,79,44956842
28.31,4980000,79,45373744
28.37,4990000,79,45504658
28.45,5000000,80,45786660
28.55,5010000,80,46209245
28.62,5020000,80,46454486
28.71,5030000,80,46861722
28.81,5040000,80,47384018
28.89,5050000,80,47686950
28.95,5060000,80,47854685
29.02,5070000,80,48059115
